Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Bortezomib Sun,EMEA/H/C/004076,bortezomib,bortezomib,Multiple Myeloma,L01XX32,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",SUN Pharmaceutical Industries (Europe) B.V.,4,22/07/2016,"Polarisavenue 87
2132JH Hoofddorp
The Netherlands",,,,,,,,,The Netherlands
Verzenios,EMEA/H/C/004302,abemaciclib,abemaciclib,Breast Neoplasms,L01XE50,,Eli Lilly Nederland B.V.,1,26/09/2018,"Papendorpseweg 83
3528 BJ Utrecht
Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Orgalutran,EMEA/H/C/000274,ganirelix,ganirelix,"Reproductive Techniques, Assisted
Ovulation Induction",H01CC01,,Merck Sharp and Dohme B.V,17,16/05/2000,"Waarderweg 39
2031 BN Haarlem
The Netherlands",,,,,,,,,The Netherlands
Aldurazyme,EMEA/H/C/000477,laronidase,laronidase,Mucopolysaccharidosis I,A16AB05,,Genzyme Europe B.V.,17,09/06/2003,"Gooimer 10
NL-1411 DD Naarden
The Netherlands",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
Imatinib Accord,EMEA/H/C/002681,imatinib,imatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma
Dermatofibrosarcoma
Myelodysplastic-Myeloproliferative Diseases
Leukemia, Myelogenous, Chronic, BCR-ABL Positive
Hypereosinophilic Syndrome",L01XE01,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,13,30/06/2013,"Sage House
319 Pinner Road
North Harrow
Middlesex
HA1 4HF
United Kingdom",,,,,,,,,United Kingdom
Levetiracetam Actavis Group,EMEA/H/C/002305,levetiracetam,levetiracetam,Epilepsy,N03AX14,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Actavis Group PTC ehf,11,04/12/2011,"Reykjavíkurvegur 76-78
220 Hafnarfjörður
Iceland",,,,,,,,,Iceland
Kalydeco,EMEA/H/C/002494,ivacaftor,ivacaftor,Cystic Fibrosis,R07AX02,,Vertex Pharmaceuticals (Europe) Ltd,15,22/07/2012,"2 Kingdom Street
London W2 6BD
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Levetiracetam Actavis,EMEA/H/C/002355,levetiracetam,levetiracetam,Epilepsy,N03AX14,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Actavis Group PTC ehf,13,03/10/2011,"Reykjavíkurvegur 76 - 78
IS-220 Hafnarfjörður
Iceland",,,,,,,,,Iceland
Karvea,EMEA/H/C/000142,irbesartan,irbesartan,Hypertension,C09CA04,,Sanofi-aventis groupe,35,26/08/1997,"54 rue La Boétie
75008 Paris
France",,,,,,,,,France
Vimizim,EMEA/H/C/002779,recombinant human n-acetylgalactosamine-6-sulfatase (rhgalns),elosulfase alfa,Mucopolysaccharidosis IV,A16AB12,,BioMarin International Limited,10,27/04/2014,"Shanbally, Ringaskiddy
County Cork, P43 R298
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Ireland
